,epoch,loss
0,1,0.691103356923321
1,2,0.7986444969844205
2,3,0.7117707431316376
3,4,0.6703412888326062
4,5,0.6620056995241589
5,6,0.65383124073602
6,7,0.6481721102233101
7,8,0.6477520163036236
8,9,0.6730689194616397
9,10,0.6883010567192863
10,11,0.6598447713629609
11,12,0.6040227405511298
12,13,0.5894500085203594
13,14,0.5924880719261537
14,15,0.5986829401020836
15,16,0.5833199155483981
16,17,0.5494996662883513
17,18,0.5303800716469143
18,19,0.5299107463509324
19,20,0.5430030869709334
20,21,0.5454279217401885
21,22,0.5522263983438253
22,23,0.5216409163459704
23,24,0.4920361032439965
24,25,0.4542295470881692
25,26,0.4314147034162877
26,27,0.4265140217887627
27,28,0.42123518481706884
28,29,0.4082039066641277
29,30,0.39358157690889967
30,31,0.37306042240746917
31,32,0.35803754345013783
32,33,0.3490759083024942
33,34,0.336676722003141
34,35,0.32524151156186293
35,36,0.31455493447673283
36,37,0.3047463989238647
37,38,0.2953638440878445
38,39,0.2864284634685976
39,40,0.2770122603013201
40,41,0.26796886286551547
41,42,0.25975396517676175
42,43,0.2522761806174873
43,44,0.2448658852379805
